,Emotion,Text
0,sadness,I experienced this emotion when my grandfather passed away.
1,neutral," when I first moved in , I walked everywhere . But within a week , I had my purse stolen — just a block away from the police station ! Now , I always take public transportation . "
2,anger,"` Oh ! "" she bleated , her voice high and rather indignant . "
3,fear,"However , does the right hon. Gentleman recognise that profound disquiet has been expressed about some of the proposals in the Bill , particularly the fast-track ones ? "
4,sadness,My boyfriend didn't turn up after promising that he was coming.
5,neutral, It's freezing . 
6,sadness," That ’ s not all ! I also had to finish writing a sales report for my boss . In the end , I finished everything . I wonder what will be waiting for me tomorrow morning . "
7,anger, I don't have a warrant . 
8,neutral, I guess so . 
9,sadness, I was just robbed ! 
10,neutral, This is it ? 
11,neutral," Well , do you think I have to ? "
12,fear,"They seemed anxious and hesitant about leaving , as if uncertain of which direction to take . "
13,anger,I experienced anger most recently when I had committed a sin which I had gone a week and a half without doing. I had made a vow to God and had blown it. Now I had to start all over.
14,neutral," cars might be convenient , but they're so bad for the environment . "
15,sadness,When a close friend of mine who was with me in first year could not make it to the second year.
16,sadness, No . Only a few pounds . But my passport was in the bag . That ’ what I ’ m really worry about . 
17,neutral, For what ? 
18,joy,"Her headache seemed to be getting worse and worse , and Raffaella 's command of English slipped as she grew increasingly excited . "
19,fear,"A leader is a coach, not a judge.  #lean #systemsthinking #development #HR"
20,joy,I was very happy when my scholarship to continue studying at university was approved after it had been cancelled.
21,fear,"Being alone in Europe and having to catch a train and bus to the airport, then board the plane alone."
22,joy,Manufacturers could play on the excitement of a commentary to sell their sets . 
23,anger,"` You 're angry I 'm here , aren't you ? "" "
24,joy, See you then . 
25,fear," Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ? "
26,neutral, What ? 
27,joy, Merry Christmas . Steven ! 
28,anger,"When during a social evening with my father, brother, sister, close friend and my father's 2nd wife - I had an argument with my father, who abused my friend who was sticking up for me."
29,anger,You won ’ t believe who ’ s been elected to do overtime on the Baker account ! Me ! I ’ Ve already logged in 20 hours of overtime ! 
30,joy,Having passed the exam required to be an authorized Radio/TV dealer.
31,joy,Hi ! Tom . Want to go to play bowling tonight ? 
32,joy,I got a good reaction from my tutor and tutorial group for a presentation I'd given that I was very worried about.
33,sadness, The Redskin ’ s quarterback just threw a touchdown pass for seven points . We ’ re losing again . 
34,anger,My boyfriend breaking up with me about 7 months after I had an abortion. Just the fact that he was ignoring me and continued to do so.
35,fear,"The same fact about the girl (22 years, married - guilt - disgust), the fear was the main factor in our relationship."
36,fear,I was scared when I realized that I might miss the train which I was supposed to take.  I was 1500 Kilometres away from home and when  I heard the depart whistle I was still 150 feet away from the train.  I finally made it.
37,sadness,A 16-year-old girl works herself into a frenzy of grief for a friend killed by right-wing vigilantes . 
38,sadness,Leading scorer Paul Wilkinson struck his 20th goal of the season against his former club but looked glum as he left the dressing room . 
39,neutral,Hello ? 
40,anger,"She looked a little less resentful than earlier , and -- dare he hope it ? -- even slightly anxious for him . "
41,joy,Family member survived an operation.
42,neutral, I got it . Do you pay for the programs ? 
43,anger,"My anger is with men, their inability to be human (not all men)."
44,neutral, OK . 
45,joy,"A fellow player, quite unexpectedly, scores a goal, which means a draw."
46,anger, I didn't like her butting in where I didn't want her . She's a chatter box . 
47,sadness,A friend of mine got pregnant anf failed the first year at university.  The boyfriend refused his responsibility and they ended up in court.
48,neutral, Why ? 
49,anger, But she lied to me . 
50,fear,"Life is short, live it.  is rare, grab it. Anger is bad, dump it. is awful, face it. #Memories are sweet, cherish them."
51,fear,Good if you are nervous about making a permanent change . 
52,neutral," Um , well let's see ... I'm from Kansas originally . A much quieter and more peaceful place than here , that's for sure ! "
53,fear,"` I 'm gratified to find you so concerned for my welfare , Li Yuan . "
54,anger,"His marriage to Osthryth , the sister of King Ecgfrith , inhibited him from bestowing royal favour on Wilfrid until Archbishop Theodore engineered a reconciliation of offended parties in 686 . "
55,sadness,"As she poured coffee for Jenny and Paul , she felt unbearably sad . "
56,fear,One time I set up my journey at night going to a certain bar. On the way I met my friends and they told me that two people had died because of heavy fighting. I proceeded on but with fear.
57,joy,When I first passed a job interview.
58,anger,And she was furious that Mr Clarke did not break the news to her before holding a Press conference . 
59,neutral, All right . But what was the trouble ? 
60,joy, That ’ s right . I have a lot to learn from you . 
61,anger,We lived with 3 persons in the loft of a house. It often occurred that other persons again and again climbed the stairs with much noise. When I was studying I couldn't concentrate and got angry.
62,joy,When I entered at the University.
63,anger,Why aren ’ t they are aware of the gravity of the situation ? 
64,anger," But why were you getting off work so late ? The office close at six , doesn't it ? "
65,fear,all this  news has made me very nervous whenever i see a cop.  even a friendly cop in the mall.  i hate that.  
66,fear,Cant decide what shirt to wear tonight. 
67,joy," And my first nephew . He looks a lot like you , mum . He does . "
68,joy,"Reflecting on the experience , Donia said : `` I think you 're exhilarated by the determination and strength of the human spirit . ''"
69,fear, I'll see you at the airport at 12 thirty P . m . 
70,anger, Crazy is too kind . Insane is more like it . Nuts ! Wacko ! Psycho ! 
71,sadness,When I came to know that my grandmother had died.  She was very close to me.
